Date,Close,High,Low,Open,Volume
2018-12-31,399.1083679199219,402.3797479848393,356.5804270759958,359.8518071409132,312588000
2019-01-07,408.9224853515625,417.10093505859373,384.38713623046874,404.01541552734375,582085000
2019-01-14,377.8443603515625,423.6436767578125,371.3016008649554,410.5581577845982,1001501000
2019-01-21,377.8443603515625,412.19384765625,363.12315150669644,382.7514299665179,1434199000
2019-01-28,374.572998046875,394.2012774205104,369.66592820346614,371.3016181512691,753949500
2019-02-04,358.216064453125,381.1157215414527,351.6733052850314,377.84434195740585,591580000
2019-02-11,319.7773742675781,363.123156457301,312.416769744795,363.123156457301,592561500
2019-02-18,341.85919189453125,371.3016103352086,323.04875789076516,323.8666028474506,838364500
2019-02-25,341.85919189453125,368.0302305084666,336.95212215441836,348.40195154801506,559985000
2019-03-04,324.6844787597656,346.7662946955683,320.5952535864688,345.1306046262496,230468000
2019-03-11,336.9521179199219,346.7662572768128,321.4130639381779,325.50228867021576,302972000
2019-03-18,326.3201904296875,338.58786676163066,323.8666551632989,336.9521765840382,319244000
2019-03-25,289.5171203613281,322.23091927221265,288.699275388556,322.23091927221265,498432000
2019-04-01,283.7922058105469,305.8740200955174,282.97436083702945,291.1528105722037,219581500
2019-04-08,266.6174621582031,291.1528114365654,259.25685737469445,283.7922066530567,538637000
2019-04-15,252.71408081054688,270.70666908832044,250.26054604539596,268.2531343231695,528483500
2019-04-22,266.6174621582031,272.342376989821,242.08211287984088,255.16763249496742,1181530000
2019-04-29,188.92218017578125,269.07098388671875,177.47235107421875,267.435294015067,2062322500
2019-05-06,185.6508026123047,193.0114071211626,157.84407446773042,184.83295766687604,1727748500
2019-05-13,172.56527709960938,193.82924489387403,162.75113811764106,184.83295082706977,1029580000
2019-05-20,187.2864990234375,188.92218897124044,163.56899478029476,166.0225297019992,766787000
2019-05-27,201.75546264648438,206.90666594809673,187.16038662524934,197.46279322847408,591617500
2019-06-03,201.75546264648438,201.75546264648438,201.75546264648438,201.75546264648438,0
2019-06-10,219.78465270996094,241.24799770116806,202.61397671699524,206.04811191558838,1170660500
2019-06-17,232.66265869140625,243.8235980382265,212.91638138549354,220.64318554867677,965423000
2019-06-24,329.6769714355469,350.28178215026855,235.23825565973917,242.10652589797974,3310394000
2019-07-01,360.5841979980469,388.057279750279,335.6867176600865,336.5452514648438,1682450000
